epoch,ax,ay,az,gx,gy,gz,load,offset,error,force,frame,LF,RF,LH,RH,
1670359907576.00,0.3793244096320368,1.8691914322312295,-0.331592115,-172.25,-167.08,-89.02,-5983,14228,0,-16.05433675,262,0,0,0,0,
1670359907586.00,0.069236359,1.7292155913125027,-0.421469541,-99.86,-229.02,-51.06,-5626,14228,0,-15.1105029,264,0,0,0,0,
1670359907593.00,-0.490857979,0.959261833,-0.211354025,-91.25,-247.86,-26.22,-5626,14228,0,-15.1105029,266,0,0,0,0,
1670359907602.00,-1.290960286,0.039330870073248946,0.13875401480863808,-111.73,-236.32,-4.1,-5545,14228,0,-14.89635572,268,0,0,1,0,
1670359907609.00,-1.121072032,-0.530576938,0.34885421810668593,-118.55,-211.49,23.78,-5545,14228,0,-14.89635572,270,0,0,1,0,
1670359907619.00,-1.011194307,-0.240461318,0.5289461882340223,-129.12,-67.23,58.32,-5694,14228,0,-15.29028078,272,0,0,1,0,
1670359907626.00,-0.93132777,-0.210321916,0.3790294053177269,-121.97,-61.06,61.42,-5694,14228,0,-15.29028078,274,0,0,1,0,
1670359907636.00,-0.481472677,-0.590158253,-0.200896801,-122.9,-70.11,66.67,-5947,14228,0,-15.95916023,276,0,0,1,0,
1670359907643.00,-0.321628963,-0.619969709,-0.270833191,-166.93,-73.23,59.67,-5947,14228,0,-15.95916023,278,0,0,1,0,
1670359907652.00,-0.031796339,-0.389755475,-0.110780519,-244.84,-66.5,27.48,-5400,14228,0,-14.51300584,280,0,0,1,1,
1670359907659.00,0.098025607,0.2204854455114439,0.099260522,-286.51,-16.15,-8.14,-5400,14228,0,-14.51300584,282,0,0,1,1,
1670359907669.00,0.31783731343106136,0.7007541475610146,-0.140710717,-286.72,35.39,-12.58,-4757,14228,0,-12.81304739,284,0,0,1,1,
1670359907676.00,0.6276391716930371,1.201051645731323,-0.510694858,-279.84,58.07,-0.49,-4757,14228,0,-12.81304739,286,0,0,1,1,
1670359907686.00,0.47743144033761253,2.051378666953453,-0.620692442,-219.6,23.69,16.89,-2070,14228,0,-5.709177482,288,0,0,1,1,
1670359907693.00,-0.502785785,2.8917354062193685,-0.020703859,-156.51,-29.27,55.24,-2070,14228,0,-5.709177482,290,0,0,0,1,
1670359907702.00,-1.253012469,2.4721212640617565,-0.220729344,-16.2,68.07,105.04,-943,14228,0,-2.729623559,292,0,0,0,1,
1670359907709.00,-1.323248406,1.8725346802982181,-0.400769023,52,143.43,124.04,-943,14228,0,-2.729623559,294,0,0,0,1,
1670359907719.00,-1.183493005,0.9129731755306906,-1.150822902,153.2,240.15,130.57,-3334,14228,0,-9.050930949,296,0,0,0,1,
1670359907726.00,-0.903745196,0.7034335627383547,-1.400890755,172.73,240.24,123.67,-3334,14228,0,-9.050930949,298,0,0,0,1,
1670359907736.00,0.3359965112159106,0.5139121867956871,-1.720971956,187.47,274.17,88.1,-1805,14228,0,-5.008572522,300,1,0,0,0,
1670359907743.00,0.7157338425236534,0.7344050799274031,-1.611065331,171.96,278.49,35.76,-1805,14228,0,-5.008572522,302,1,0,0,0,
1670359907752.00,-0.034531477,0.8449080101551011,-1.571169083,169.61,285.72,-17.53,-808,14228,0,-2.372711599,304,1,0,0,0,
1670359907759.00,-0.924797816,0.24541647636243116,-2.271280751,133.24,216.81,49.25,-808,14228,0,-2.372711599,306,1,0,0,0,
1670359907769.00,-0.395063512,-0.334074251,-1.311397178,102.35,114.28,130.36,373,14228,0,0.749607108,308,1,0,0,0,
1670359907776.00,0.5746732440526664,-1.183568979,1.6484854217730824,151.61,99.09,84.52,373,14228,0,0.749607108,310,1,0,0,0,
1670359907786.00,1.4844143192353014,-1.883072344,3.2983710468571017,270.83,113.37,-4.33,10392,14228,0,27.237762163306964,312,1,0,0,0,
1670359907793.00,1.2541613783630914,-1.732588547,2.818263239,286.6,67.97,-82.51,10392,14228,0,27.237762163306964,314,1,0,0,0,
1670359907802.00,0.3839156817047679,-1.832121162,0.3281646243142327,286.68,26.14,-80.79,8269,14228,0,21.624991110000508,316,1,0,0,0,
1670359907809.00,-0.146321895,-1.831673061,-0.031922994,286.42,-8.86,-52.52,8269,14228,0,21.624991110000508,318,1,0,0,0,
1670359907819.00,-0.706550664,-0.751246415,1.2180017460109014,134,-210.22,39.15,4656,14228,0,12.072969529408793,320,1,1,0,0,
1670359907826.00,-0.806769895,-0.330842817,1.4379399523113354,102.6,-211.96,60.17,4656,14228,0,12.072969529408793,322,1,1,0,0,
1670359907836.00,-0.95697864,-0.270463475,0.7078923834535673,117.85,-104.86,77.28,2103,14228,0,5.323367787020012,324,0,1,0,0,
1670359907843.00,0.082824334,-0.900109381,-0.452140597,133.7,8.72,35.81,2103,14228,0,5.323367787020012,326,0,1,0,0,
1670359907852.00,1.7726404514672807,-1.839781297,0.7278411216325856,148.55,186.1,18.6,4606,14228,0,11.94077991439922,328,0,1,0,0,
1670359907859.00,3.3624709770544063,-0.979479608,0.1278375354913111,138.49,49.49,-74.78,4606,14228,0,11.94077991439922,330,0,1,0,0,
1670359907869.00,3.402316506974462,-0.609204214,-0.53215144,161.58,-13.85,-136.26,1347,14228,0,3.324660808075274,332,0,1,0,0,
1670359907876.00,1.6721765737390488,-1.138954572,0.8778740601493386,90.89,-100.62,-199.83,1347,14228,0,3.324660808075274,334,0,1,0,0,
1670359907886.00,-0.087950344,-1.528729754,1.737913820490673,-77.7,-121.32,-174.79,-1716,14228,0,-4.773275007,336,0,1,0,0,
1670359907893.00,-0.708066413,-1.118528396,1.657967328187445,-121.17,-109.16,-164.04,-1716,14228,0,-4.773275007,338,0,1,0,0,
1670359907902.00,-0.808173951,-0.668348647,0.4980335584700304,-56.59,-68.53,-208.1,-3619,14228,0,-9.804411755,340,0,1,0,0,
1670359907909.00,-0.818275098,-0.388188232,-0.071889005,-59.18,-42.84,-209.69,-3619,14228,0,-9.804411755,342,0,0,0,0,
1670359907919.00,-0.418371711,0.681955395,-0.821802133,-103.66,28.62,-143.96,-4840,14228,0,-13.03248215,344,0,0,0,0,
1670359907926.00,-0.198465378,0.9220848430187487,-0.641707581,-165.28,59.23,-113.36,-4840,14228,0,-13.03248215,346,0,0,0,0,
1670359907936.00,0.33144248801709725,0.8822025589533267,-0.161606915,-201.37,86.49,-74.51,-5257,14228,0,-14.13494354,348,0,0,0,0,
1670359907943.00,0.24135052790586048,0.7923106863928691,-0.521501497,-161.07,-11.06,-74.63,-5257,14228,0,-14.13494354,350,0,0,0,0,
1670359907952.00,0.13125733495117392,1.0024110236588575,-0.681392506,-116.2,-120.87,-83.01,-5390,14228,0,-14.48656792,352,0,0,0,0,
1670359907959.00,0.15116142158210155,0.9025050169691499,-0.481280935,-112.73,-195.47,-75.25,-5390,14228,0,-14.48656792,354,0,0,0,0,
1670359907969.00,-0.198938762,0.4725937596493901,-0.121167566,-114.08,-235.83,-63.31,-4765,14228,0,-12.83419773,356,0,0,0,0,
1670359907976.00,-0.739044769,0.21267803773910032,0.158946981,-120.13,-268.44,-29.48,-4765,14228,0,-12.83419773,358,0,0,1,0,
1670359907986.00,-1.019158041,0.11275842747924261,0.4590621387939357,-129.14,-234.88,3.36,-3942,14228,0,-10.65835667,360,0,0,1,0,
1670359907993.00,-1.049279767,-0.097164605,0.3991772881188037,-130.65,-209.1,17.01,-3942,14228,0,-10.65835667,362,0,0,1,0,
1670359908002.00,-0.899410777,-0.627090619,0.16929168215015233,-218.57,-118.35,26.68,-2403,14228,0,-6.589560318,364,0,0,1,0,
1670359908009.00,-0.869551512,-0.357019103,0.6494044319545235,-278.18,-68,30.73,-2403,14228,0,-6.589560318,366,0,0,1,0,
1670359908019.00,-0.759702042,-0.00694941,0.339514499,-284.81,-12.85,29.76,24,14228,0,-0.173076405,368,0,0,1,0,
1670359908026.00,-0.509862103,0.3431192186509412,-0.090379312,-279.07,49.71,17.65,24,14228,0,-0.173076405,370,0,0,1,1,
1670359908035.00,0.05996884,0.9231875349375712,-0.60027829,-280.71,107,19.01,5119,14228,0,13.297045364397434,372,0,0,1,1,
1670359908042.00,0.5797914762137988,1.4032561233228062,-0.990183679,-274.45,118.98,24.47,5119,14228,0,13.297045364397434,374,0,0,1,1,
1670359908052.00,0.9296064759007836,2.053325204470127,-0.760096511,-211.07,-33.08,66.05,16276,14228,0,42.79383605763347,376,0,0,1,1,
1670359908059.00,0.6194143195858038,2.1033944310617527,-0.210017531,-195,-83.22,65.43,16276,14228,0,42.79383605763347,378,0,0,0,1,
1670359908069.00,-0.680784755,1.1834627461007057,-0.199947226,-74.37,-2.85,95.02,28333,14228,0,74.67003982104181,380,0,0,0,1,
1670359908076.00,-0.47099063,0.7435284013404602,-0.439885924,76.9,127.9,96.21,28333,14228,0,74.67003982104181,382,0,0,0,1,
